obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
4102.892,0.006,4102.8991,0.0024,70000,9.7320e+05,AAA,82259.158,106632.1681,2,,,6,,,,T8637,L7436c29,
,,4102.8922,0.0010,,,,,,,,,,,,,,c58,
,,4102.92068748,0.00000008,,5.1450e+06,AAA,82259.2850014,106632.1665697,2p,2P*,3/2,6d,2D,5/2,,T8637,,
,,4102.9208,0.0003,,,,,,,,,,,,,,c59,
,,4102.92144772,0.00000022,,8.5748e+05,AAA,82259.2850014,[106632.1620536],2p,2P*,3/2,6d,2D,3/2,,T8637,,
,,4102.92350348,0.00000013,,4.9006e+05,AAA,82259.2850014,106632.1498416,2p,2P*,3/2,6s,2S,1/2,,T8637,,
,,4341.647191,0.000004,,7.8548e+06,AAA,82258.9191133,105291.651993,2p,2P*,1/2,5d,2D,3/2,,T8637,,
,,4341.6512,0.0011,,,,,,,,,,,,,,c60,
,,4341.651159,0.000008,,4.2955e+05,AAA,82258.9191133,[105291.63094],2p,2P*,1/2,5s,2S,1/2,,T8637,,
,,4341.653824,0.000008,,4.9483e+06,AAA,82258.9543992821,105291.65209,2s,2S,1/2,5p,2P*,3/2,,T8637,,
,,4341.657811,0.000008,,,,82258.9543992821,[105291.63094],2s,2S,1/2,5s,2S,1/2,M1,,,
,,4341.658238,0.000008,,4.9484e+06,AAA,82258.9543992821,105291.62867,2s,2S,1/2,5p,2P*,1/2,,T8637,,
,,4341.6837,0.0011,,,,,,,,,,,,,,c61,
4341.692,0.006,4341.691,0.003,90000,2.5304e+06,AAA,82259.158,105291.657,2,,,5,,,,T8637,L7436c29,
,,4341.714690,0.000004,,9.4254e+06,AAA,82259.2850014,[105291.659796],2p,2P*,3/2,5d,2D,5/2,,T8637,,
,,4341.7150,0.0004,,,,,,,,,,,,,,c62,
,,4341.716161,0.000004,,1.5709e+06,AAA,82259.2850014,105291.651993,2p,2P*,3/2,5d,2D,3/2,,T8637,,
,,4341.720130,0.000008,,8.5920e+05,AAA,82259.2850014,[105291.63094],2p,2P*,3/2,5s,2S,1/2,,T8637,,
,,4862.6365622,0.0000019,,1.7188e+07,AAA,82258.9191133,102823.894250,2p,2P*,1/2,4d,2D,3/2,,T8637,,
4862.64130281,0.00000019,4862.64130279,0.00000019,,,,82258.9543992821,102823.9094871,2s,2S,1/2,4d,2D,5/2,E2,,L9496,
,,4862.6420,0.0014,,,,,,,,,,,,,,c63,
4862.64488967,0.00000008,4862.64488968,0.00000007,,9.6680e+06,AAA,82258.9543992821,102823.8943175,2s,2S,1/2,4p,2P*,3/2,,T8637,L9477,
,,4862.64631087,0.00000009,,8.5941e+05,AAA,82258.9191133,102823.8530211,2p,2P*,1/2,4s,2S,1/2,,T8637,,
4862.65465436,0.00000008,4862.65465437,0.00000007,,,,82258.9543992821,102823.8530211,2s,2S,1/2,4s,2S,1/2,M1,,L9496,
4862.65570391,0.00000012,4862.65570389,0.00000012,,9.6683e+06,AAA,82258.9543992821,102823.8485825,2s,2S,1/2,4p,2P*,1/2,,T8637,L9477,
,,4862.6830,0.0014,,,,,,,,,,,,,,c64,
4862.71,0.05,4862.691,0.003,180000,8.4193e+06,AAA,82259.158,102823.904,2,,,4,,,,T8637,L7439c30,
